ID,タイトル,内容,閲覧数,カテゴリID,公開状態,作成者,作成日,最終更新日,最初の公開日,最終公開日
7028dd0d-769d-4809-bfb2-84bb512cad66,"Anker PowerCore Essential 20000の仕様について","<div data-component-type=""heading""><h2 id="""" level=""3"">Anker PowerCore Essential 20000のサイズ、重さ、出力などについては以下を参照ください</h2></div><div data-component-type=""text""><div><strong>製品サイズ</strong></div><div>約158 x 74 x 19 mm</div><div><br /></div><div><strong>製品重量</strong></div><div>約343g</div><div><br /></div><div><strong>バッテリー容量</strong></div><div>20,000ｍAh</div><div><br /></div><div><strong>入力</strong></div><div>5V = 2A</div><div><br /></div><div><strong>出力</strong></div><div>5V = 3A (各ポート最大2.4A)</div></div><div data-component-type=""informative""><div class=""info-container"" info-color=""green""><div class=""info-title"">パッケージ内容</div><div class=""info-content""><ul>
  <li>Anker PowerCore Essential 20000</li>  <li>Micro USB ケーブル (※USB-CとライトニングUSBケーブルは別売り)</li>  <li>トラベルポーチ</li>  <li>取扱説明書</li>  <li>18ヶ月保証 + 6ヶ月 (Anker会員登録後)</li>  <li>カスタマーサポート</li></ul></div></div></div><div data-component-type=""text""><div><strong>製品型番</strong></div><ul>
  <li>A1268011 (ブラック)</li>  <li>A1268021 (ホワイト)</li></ul></div><div data-component-type=""",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 15:56:46","2021-05-22 16:00:11","2021-05-22 16:00:11","2021-05-22 16:00:11"
8582dcd1-3fae-4e68-871d-ca396f3e9df0,"Anker PowerCore Essential 20000は何回充電が可能ですか？","<div data-component-type=""heading""><h2 id="""" level=""3"">20000mAhの超大容量で、iPhone11 / 11 Proを4回以上、Galaxy S10を約4回、iPad mini 5を2回以上満充電することができます。緊急災害対策用としても最適です。</h2></div><div data-component-type=""text""><div><strong>製品型番</strong></div><ul>
  <li>A1268011 (ブラック)</li>  <li>A1268021 (ホワイト)</li></ul></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 16:00:24","2021-05-22 16:01:23","2021-05-22 16:01:23","2021-05-22 16:01:23"
926e6c07-708b-402b-8576-507d08785021,"Anker PowerCore 13000の仕様について","<div data-component-type=""heading""><h2 id="""" level=""3"">Anker PowerCore 13000のサイズ、重さ、出力などについては以下を参照ください</h2></div><div data-component-type=""text""><div><strong>製品サイズ</strong></div><div>約97.5x 80 x 22mm</div><div><br /></div><div><strong>製品重量</strong></div><div>約255g</div><div><br /></div><div><strong>入力</strong></div><div>5V/2A</div><div><br /></div><div><strong>出力</strong></div><div>5V/3A</div></div><div data-component-type=""informative""><div class=""info-container"" info-color=""green""><div class=""info-title"">パッケージ内容</div><div class=""info-content""><ul>
  <li>Anker PowerCore 13000</li>  <li>Micro USBケーブル</li>  <li>トラベルポーチ</li>  <li>18ヶ月保証 + 6ヶ月 (Anker会員登録後)</li></ul></div></div></div><div data-component-type=""text""><div><strong>製品型番</strong></div><ul>
  <li>A1215011 (ブラック)</li>  <li>A1215021 (ホワイト)</li>  <li>A1215091 (レッド)</li>  <li>A1215031 (ブルー)</li></ul></div><div data-component-type=""informative""><div class=""info-container"" info-color=""red""><div class=""info-title"">ご注意</div><div class=""info-content""><ul>
 ",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 15:01:09","2021-05-22 15:09:54","2021-05-22 15:03:32","2021-05-22 15:08:45"
92cbdde5-8107-471c-b5b7-110b35745fb1,移転(電話のお引越し)をする場合、どのような手続きが必要ですか？,"<div data-component-type=""heading""><h2 id="""" level=""3"">Web116.jp（本ホームページ）から、お手続きいただけます。お手続きの際には、以下の情報をWeb画面上からご入力いただくことが必要となります。</h2></div><div data-component-type=""text""></div><div data-component-type=""text""><ul>
  <li>　現在お使いのお電話番号</li>  <li>　電話のご契約者名義</li>  <li>　ああああ</li>  <li>　いいいい</li></ul></div><div data-component-type=""informative""><div class=""info-container"" info-color=""orange""><div class=""info-title"">連絡先</div><div class=""info-content""><div>００００００００００００</div></div></div></div><div data-component-type=""text""><div>なお、「引越し先では○月○日から電話を使いたい」というお客さまのご要望にお応えするため、電話工事は「予約制」とさせていただいております。<br />
お引越しのシーズンには電話の移転のお申し込みが集中し大変な混雑が予想されますので、お早めにお申し込みください。</div></div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/8b4de52f-f9b8-46bd-8e5b-5f1b35623ce7/70b48832-e802-4fdc-a006-6aafb8bb9337/2021/10/22/13bf53e5-1f38-4b3e-b8e7-05a68cf450ac/1325954e-131c-478e-99e3-e81e560781a0.png"" /></div></div><div data-component-type=""informative""><div class=""info-container"" info-",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-10-22 17:14:25","2021-10-22 17:20:26","2021-10-22 17:16:21","2021-10-22 17:20:26"
aceea382-393a-45a2-8eaf-44c6dc86a595,ガス臭い、ガス漏れ等の緊急時対応はどうなりますか？,"<div data-component-type=""heading""><h2 id="""" level=""2"">ガス臭い、ガス漏れ等の緊急時対応は、ガス事業法に基づき、現在ご使用のガス会社（導管事業者）が従来通り対応を行います。</h2></div><div data-component-type=""text""><div>ニチガス（小売事業者）も導管事業者と連携、協力して対応を行ないます。 緊急時のご連先は、ガスを安全にご使用いただくためのパンフレット、ニチガスホームページ等でお知らせ致します。</div></div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/8b4de52f-f9b8-46bd-8e5b-5f1b35623ce7/70b48832-e802-4fdc-a006-6aafb8bb9337/2021/10/07/c341ce47-fcd1-4306-bfe3-4eefff569c8e/dc33b634-6bab-45e5-b2c1-48fb79fe6dc3.png"" /></div></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-10-07 16:55:21","2021-10-22 17:13:25","2021-10-07 16:56:09","2021-10-07 16:56:09"
bd0e913f-7f86-4814-91c9-2d23d417bbdc,"Anker PowerCore 5000
は何回充電が可能ですか？","<div data-component-type=""text""><div>ほとんどのスマートフォンに約1回の充電が可能です。職場、旅行、家で少し使いたいときであっても非常に便利です</div></div><div data-component-type=""text""><div><strong>製品型番</strong></div><ul>
  <li>A1109011 (ブラック)</li>  <li>A1109021 (ホワイト)</li>  <li>A1109031 (ブルー)</li>  <li>A1109091 (レッド)</li></ul></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 15:34:03","2021-05-22 15:35:06","2021-05-22 15:35:06","2021-05-22 15:35:06"
c35b523c-0fca-4dfb-8683-a9e027f42e5c,エディオンカード、あんしんの長期修理保証特典について,"<div data-component-type=""heading""><h2 id="""" level=""3"">エディオンカード会員様・100満ボルトカード会員様なら、エディオンネットショップでご購入いただいた商品もポイント特典・長期修理保証特典の対象となります。</h2></div><div data-component-type=""text""><div>あああああああああああ</div></div><div data-component-type=""text""><ul>
  <li>あああああああああああああ</li></ul></div><div data-component-type=""text""><div>※ご購入いただいた商品をポイント特典・長期修理保証特典の対象にするには、ご利用登録時または、マイページより会員カード情報を商品ご購入前にご登録いただく必要がございます。<br />
エディオンカードをお持ちでない方は、お近くのエディオン各店舗または、エディオンネットショップのご利用登録後、マイページからエディオンカードのお申込みをすることもできます。</div></div><div data-component-type=""text""><ol>
  <li>ああああ</li>  <li>ああああ</li>  <li>あああああ</li>  <li><br /></li></ol></div><div data-component-type=""heading""><h2 id="""" level=""4"">＜カードについて＞</h2></div><div data-component-type=""text""><div>期修理保証やおトクなポイントなど、色々なサービス満載のエディオンカードの魅力をご紹介します。</div></div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/8b4de52f-f9b8-46bd-8e5b-5f1b35623ce7/70b48832-e802-4fdc-a006-6aafb8bb9337/2021/10/28/4d5d0541-086a-478a-8306-a0fdde6bf205/3973b994-96dc-4",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-10-28 11:40:31","2021-10-28 11:45:44","2021-10-28 11:45:44","2021-10-28 11:45:44"
d4ac65f3-97a9-4240-8f42-a1796df48443,"Anker PowerCore 5000の仕様について","<div data-component-type=""heading""><h2 id="""" level=""3"">Anker PowerCore 5000のサイズ、重さ、出力などについては以下を参照ください</h2></div><div data-component-type=""text""><div><strong>製品サイズ</strong></div><div>約108 x 33 x 33mm</div><div><br /></div><div><strong>製品重量</strong></div><div>約134g</div><div><br /></div><div><strong>入力</strong></div><div>5V/2A</div><div><br /></div><div><strong>出力</strong></div><div>5V/2A</div></div><div data-component-type=""informative""><div class=""info-container"" info-color=""green""><div class=""info-title"">パッケージ内容</div><div class=""info-content""><ul>
  <li>Anker PowerCore 5000 モバイルバッテリー</li>  <li>Micro USBケーブル</li>  <li>トラベルポーチ</li>  <li>取扱説明書</li>  <li>18ヶ月保証 + 6ヶ月 (Anker会員登録後)</li>  <li>カスタマーサポート</li></ul></div></div></div><div data-component-type=""text""><div><strong>製品型番</strong></div><ul>
  <li>A1109011 (ブラック)</li>  <li>A1109021 (ホワイト)</li>  <li>A1109031 (ブルー)</li>  <li>A1109091 (レッド)</li></ul></div><div data-component-type=""informative""><div class=""info-container"" info-color=""red""><div class=""info-titl",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 15:30:28","2021-05-23 11:21:15","2021-05-22 15:32:50","2021-05-23 11:21:15"
df67edfc-7ad7-413b-aa07-6f5fbdc5840c,"Anker PowerCore Essential 20000は何色カラーバリエーションがありますか？","<div data-component-type=""heading""><h2 id="""" level=""2"">ブラック、ホワイトの2色です</h2></div><div data-component-type=""text""><div>ブラック</div><div><img data-composite=""true"" src=""https://dbcn1bdvswqbx.cloudfront.net/client_info/ANKERJAPAN/itemimage/A1268/A1268-BLACK-001.jpg"" /></div><div>ホワイト</div><div><img data-composite=""true"" src=""https://dbcn1bdvswqbx.cloudfront.net/client_info/ANKERJAPAN/itemimage/A1268/A1268-WHITE-001-WHITE.jpg"" /></div></div><div data-component-type=""text""><div><br /></div></div><div data-component-type=""text""><div><br /></div></div><div data-component-type=""text""><div><strong>製品型番</strong></div><ul>
  <li>A1268011 (ブラック)</li>  <li>A1268021 (ホワイト)<br />
</li></ul></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 16:05:12","2021-05-22 16:06:41","2021-05-22 16:06:41","2021-05-22 16:06:41"
e10baf4c-2a52-4a65-8ea6-82cc64562a1b,"Anker PowerCore 13000は何回充電が可能ですか？","<div data-component-type=""text""><div>数日のご使用にも十分な容量で、iPhone 11 Proに約3回以上、Galaxy S9に約3回、iPad Pro (2018, 11インチ) に約1回以上の充電が可能。Apple MacBook (12インチ, 2015)も約4~5時間で満充電可能です (PowerIQ非対応) 。</div></div><div data-component-type=""text""><div><strong>製品型番</strong></div><ul>
  <li>A1215011 (ブラック)</li>  <li>A1215021 (ホワイト)</li>  <li>A1215091 (レッド)</li>  <li>A1215031 (ブルー)</li></ul></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 15:10:13","2021-05-22 15:11:19","2021-05-22 15:11:19","2021-05-22 15:11:19"
ed8c43ab-99cf-4420-9f44-e3913f1930ff,「インポート」と「エクスポート」の違いは何ですか？,"<div data-component-type=""heading""><h2 id="""" level=""3"">データを取り込むのが「インポート」、外部にデータを出力するのが「エクスポート」</h2></div><div data-component-type=""heading""><h2 id="""" level=""2""></h2></div><div data-component-type=""informative""><div class=""info-container"" info-color=""red""><div class=""info-title"">ご注意</div><div class=""info-content""><div>あああああああああああああああ</div></div></div></div><div data-component-type=""line""><hr line-style=""thick"" /></div><div data-component-type=""collapsible""><div><h4 class=""collapsible-title"">Windowsの場合</h4><div class=""collapsible-content""><div>ああああああああああああ</div><div><br /></div></div></div></div><div data-component-type=""collapsible""><div><h4 class=""collapsible-title"">Macの場合は</h4><div class=""collapsible-content""><div>いいいいいいいいいい</div></div></div></div><div data-component-type=""text""><div><img src=""https://d2x3xhvgiqkx42.cloudfront.net/8b4de52f-f9b8-46bd-8e5b-5f1b35623ce7/70b48832-e802-4fdc-a006-6aafb8bb9337/2021/09/13/9c950070-f395-46b6-8ff6-ddfe2db81e8f/756647ba-fa78-4ffb-83d3-d65875abb5ac.png"" /></div></div><d",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-09-13 14:26:34","2021-09-13 14:33:15","2021-09-13 14:28:14","2021-09-13 14:31:06"
27461b70-e5ba-4dd0-ae07-ea4013ad7379,"スマートフォン以外の機器を充電することは可能ですか。","<div data-component-type=""text""><div>スマートフォン、ノートパソコン、タブレット用のモバイルバッテリーとなります。</div></div>",,3fd7b06b-db87-4bf0-b02f-f1808290da4f,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 12:07:39","2021-05-22 12:08:28","2021-05-22 12:08:28","2021-05-22 12:08:28"
40f75b14-40e5-4740-bd0b-8679487df599,本製品を充電しながらほかの機器に給電をすることはできますか。,"<div data-component-type=""heading""><h2 id="""" level=""3"">本製品は同時に蓄電と給電を行うことはできません。</h2></div><div data-component-type=""text""><div><br />
蓄電中は出力ポートを使用しないでください。</div></div><div data-component-type=""table""><div class=""table-wrapper""><table><thead><tr><th><div>対象製品</div></th></tr></thead><tbody><tr><td><div>Anker PowerCore Essential 20000</div></td></tr><tr><td><div>Anker PowerCore 5000</div></td></tr><tr><td><div>Anker PowerCore 13000</div></td></tr></tbody></table></div></div>",,3fd7b06b-db87-4bf0-b02f-f1808290da4f,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 12:01:49","2021-05-22 12:24:40","2021-05-22 12:04:14","2021-05-22 12:24:40"
a33208fa-691f-46ca-865d-c757eb7eadf8,あみもとです,"<div data-component-type=""text""><div>ここに回答</div></div><div data-component-type=""informative""><div class=""info-container"" info-color=""green""><div class=""info-title"">注意</div><div class=""info-content""><div></div></div></div></div>",,3fd7b06b-db87-4bf0-b02f-f1808290da4f,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-09-16 13:53:08","2021-09-16 13:53:28","2021-09-16 13:53:28","2021-09-16 13:53:28"
fc33b35d-a68f-4823-883f-b7db167f8cd9,女性社員が活躍できる環境は整っていますか？,"<div data-component-type=""text""><h3>フルタイムで働きづらい主婦層でも、家庭と仕事を両立しやすいM社員（パート社員）制度があり、M社員から店長に登用する昇進制度もあります。また、女性の管理者が一層活躍できるよう、女性活躍推進のための行動計画を策定しています。<br />
詳しくは「<a data-composite=""true"" href=""https://www.shimamura.gr.jp/sustainability/social.html#social-01"" target="""">サステナビリティ</a>」をご覧ください。</h3></div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/8b4de52f-f9b8-46bd-8e5b-5f1b35623ce7/70b48832-e802-4fdc-a006-6aafb8bb9337/2021/11/11/b0d7e4d4-748b-413b-b298-71004a19a0be/919529c2-8240-4210-a8be-b17038d0f2e2.png"" /></div></div><div data-component-type=""informative""><div class=""info-container"" info-color=""red""><div class=""info-title"">注意</div><div class=""info-content""><div>あああああああああああ</div></div></div></div>",,3fd7b06b-db87-4bf0-b02f-f1808290da4f,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-11-11 15:22:01","2021-11-11 15:36:59","2021-11-11 15:22:23","2021-11-11 15:36:56"
0b26b1b8-c558-4be3-9d40-c724db202e21,配送日時の指定はできますか？,"<div data-component-type=""heading""><h2 id="""" level=""4"">誠に申し訳ございませんが、指定することはできません｡</h2></div><div data-component-type=""text""><div><br /></div><div><br /></div></div>",,f3da4236-61b4-4b01-b0f4-b2afe14b1cba,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 16:45:55","2021-05-22 16:46:14","2021-05-22 16:46:14","2021-05-22 16:46:14"
15833436-1875-4f69-ad9e-860249b71689,返品時の送料はかかりますか？,"<div data-component-type=""heading""><h2 id="""" level=""4"">１．製品不具合の場合</h2></div><div data-component-type=""text""><div>当該事象を弊社が不具合であると確認した後、迅速に同一新品製品との交換対応をお承り致します。その際の送料は弊社が負担致します。</div></div><div data-component-type=""heading""><h2 id="""" level=""4"">2．上記以外の場合</h2></div><div data-component-type=""text""><div><ins>カスタマーサポート</ins>にお問い合わせください。</div></div>",,f3da4236-61b4-4b01-b0f4-b2afe14b1cba,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 16:49:46","2021-05-22 16:50:43","2021-05-22 16:50:43","2021-05-22 16:50:43"
